activity_name	activity_type	country	date	duration	participants	budget	sdg	unit
Spring Major Trip	Trip	Tunisia	17/04/2023	1	55	830	Quality Education | Sustainable Cities and Communities	Scouts | Guides | Rovers
Summer Camp	Camp	Tunisia	15/08/2023	7	120	6600	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
Winter Camp	Camp	Tunisia	26/08/2024	4	70	2150	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides | Rovers
Winter Camp	Camp	Tunisia	20/07/2025	4	78	1910	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides | Rovers
City Treasure Hunt	Trip	Tunisia	15/07/2025	1	60	590	Sustainable Cities and Communities	Cubs | Flowers | Scouts
City Treasure Hunt	Trip	Tunisia	18/08/2025	1	65	590	Sustainable Cities and Communities	Cubs | Flowers | Scouts
The Walking Scout	Trip	Tunisia	26/03/2023	1	55	470	Quality Education | Sustainable Cities and Communities	Scouts
Legend of the Wild	Trip	Tunisia	17/12/2024	1	62	1000	Quality Education | Sustainable Cities and Communities	Scouts | Guides | Rovers
Kickoff Camp	Camp	Tunisia	20/08/2025	3	50	1170	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides | Rovers | Rangers
Kickoff Camp	Camp	Tunisia	22/08/2025	3	58	1290	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides | Rovers | Rangers
Winter Camp Cubs/Flowers	Camp	Tunisia	05/07/2025	3	22	1190	Quality Education | Good Health and Well-being | Life on Land	Cubs
Winter Camp Scouts/Guides	Camp	Tunisia	06/08/2025	5	80	2800	Quality Education | Good Health and Well-being | Life on Land	Guides
Rovers/Rangers Camp	Camp	Tunisia	28/08/2023	4	35	1250	Quality Education | Good Health and Well-being | Life on Land	Rovers
The Rose Workshop	Workshop	Tunisia	01/06/2023	1	60	2400	Quality Education	Leaders | Rovers | Rangers
Blue Workshop Sfax V1.0	Workshop	Tunisia	01/06/2023	1	43	3311	Quality Education	Leaders | Rovers | Rangers
Kerkennah Blue Workshop V2.0	Workshop	Tunisia	01/06/2023	1	60	3480	Quality Education	Leaders | Rovers | Rangers
National Solidarity Project (Covid-19)	Project	Tunisia	01/06/2023	1	38	4940	Good Health and Well-being | No Poverty	Rovers | Rangers | Leaders
Madrasti Project	Project	Tunisia	01/06/2023	1	49	6615	Quality Education	Rovers | Rangers | Leaders
REPAS GALETTE - dimanche 1er février 2026	Activity	France	02/01/2026	2	75	2763.75	Zero Hunger	Cubs | Flowers | Scouts | Guides
Shop shirts, badges and scarves J. Cassard 2025-2026	Event	France	15/06/2025	3	55	3132.25	Quality Education	Scouts | Guides
Sale of apple juice - 2025	Event	France	15/06/2025	2	37	1735.3	Quality Education	Scouts | Guides
Boat rental - Jacques Cassard Nantes marine group	Journey	France	11/07/2025	5	60	2211	Life Below Water	Scouts | Guides
Scout Guide Camps 2025	Camp	France	15/06/2025	10	146	4891	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camps Piocas 2025	Camp	France	15/06/2025	5	88	3537.6	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
LJ Camps 2025	Camp	France	15/06/2025	10	149	8485.55	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
CAMP 25 FARFADETS	Camp	France	21/10/2025	8	145	7772	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Farfadets Membership 2025-2026	Activity	France	15/06/2025	2	37	1363.45	Quality Education	Cubs | Flowers | Scouts | Guides
Donation SGDF - Clichy Saint Médard	Event	France	21/01/2025	1	58	1943	No Poverty	Scouts | Guides
Individual SGDF Registration	Activity	France	04/05/2025	2	52	2961.4	Quality Education	Cubs | Flowers | Scouts | Guides
Scout Guide Camps 2025	Camp	France	15/06/2025	4	92	4623	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Piocas Camps 2025	Camp	France	15/06/2025	8	76	2800.6	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
LJ Camps 2025	Camp	France	15/06/2025	9	50	2847.5	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Badges and Scarf	Activity	France	03/12/2025	1	64	3216	Quality Education	Cubs | Flowers | Scouts | Guides
Campagne Calendriers 2026	Camp	France	15/06/2026	7	53	3018.35	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Badges and Scarf	Activity	France	08/06/2023	2	66	2653.2	Quality Education	Cubs | Flowers | Scouts | Guides
Campaign Calendars 2026	Camp	France	15/06/2026	8	53	1953.05	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
International solidarity project in Madagascar	Event	France	12/03/2025	4	81	3527.55	Partnerships for the Goals | No Poverty	Rovers | Rangers | Leaders
Camp summer	Camp	France	15/06/2025	7	101	5075.25	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
camp	Activity	France	15/06/2025	2	40	2144	Quality Education	Cubs | Flowers | Scouts | Guides
Pioka Jamboree Fundraiser	Event	France	21/01/2025	3	39	2090.4	Quality Education	Scouts | Guides
Operation of the group (Training, etc.)	Activity	France	25/10/2025	1	46	2311.5	Quality Education	Cubs | Flowers | Scouts | Guides
Equipment for the group	Activity	France	29/08/2025	2	40	2278	Quality Education	Cubs | Flowers | Scouts | Guides
Leprechauns Equipment Order	Activity	France	13/02/2025	2	60	4221	Quality Education	Cubs | Flowers | Scouts | Guides
Pour les PC et leurs chef.taines	Activity	France	22/11/2025	2	72	2412	Quality Education	Leaders
For compasses and their adult support	Activity	France	27/10/2025	2	30	1105.5	No Poverty	Rovers
Pre-order clothing on behalf of the group	Activity	France	07/08/2025	2	49	3283	Quality Education	Cubs | Flowers | Scouts | Guides
Cub Scouts Uniform Order	Activity	France	12/01/2025	1	78	4180.8	Quality Education	Cubs
Scouts & Guides Uniform Order	Activity	France	31/12/2025	1	57	1909.5	Quality Education	Cubs | Flowers | Scouts | Guides
